Eh,Efe,Csy,Bt,Cc,Bp,Csc,Efm,Chy,Efs,Cha,Bf,Fp,Bu,Pd
0.0000,0.4423,0.0564,0.0671,0.0099,0.0172,0.0014,0.1796,0.0033,0.0000,0.0091,0.1463,0.0235,0.0171,0.0268
0.5181,0.0000,0.0788,0.0006,0.0103,0.0100,0.0038,0.0000,0.0011,0.0000,0.0213,0.3459,0.0096,0.0004,0.0000
0.1323,0.4106,0.0000,0.2799,0.0149,0.0243,0.0067,0.0000,0.0053,0.0000,0.0191,0.0305,0.0218,0.0133,0.0414
0.1150,0.4375,0.0705,0.0000,0.0137,0.0213,0.0032,0.0000,0.0043,0.0000,0.0123,0.1701,0.0206,0.0990,0.0324
0.1415,0.3901,0.0818,0.1755,0.0000,0.0185,0.0027,0.0000,0.0072,0.0000,0.0170,0.0530,0.0273,0.0380,0.0475
0.0839,0.4287,0.0958,0.0669,0.0139,0.0000,0.0067,0.0000,0.0045,0.0000,0.0091,0.1853,0.0299,0.0343,0.0409
0.1161,0.4144,0.0740,0.1173,0.0144,0.0246,0.0000,0.0000,0.0070,0.0000,0.0111,0.0925,0.0232,0.0356,0.0697
0.1150,0.4522,0.0760,0.1191,0.0091,0.0262,0.0056,0.0000,0.0058,0.0000,0.0182,0.0591,0.0234,0.0328,0.0574
0.1095,0.4645,0.0683,0.1050,0.0132,0.0216,0.0066,0.0000,0.0000,0.0000,0.0102,0.1222,0.0251,0.0243,0.0294
0.3399,0.2862,0.0515,0.1405,0.0098,0.0113,0.0019,0.0000,0.0028,0.0000,0.0096,0.0746,0.0151,0.0089,0.0479
0.1232,0.4232,0.0739,0.1161,0.0116,0.0240,0.0045,0.0000,0.0046,0.0000,0.0000,0.1348,0.0300,0.0243,0.0297
0.0848,0.4787,0.0801,0.2009,0.0119,0.0158,0.0029,0.0000,0.0039,0.0000,0.0124,0.0000,0.0201,0.0163,0.0722
0.0930,0.4197,0.0602,0.1363,0.0185,0.0189,0.0057,0.0000,0.0054,0.0000,0.0177,0.1668,0.0000,0.0355,0.0222
0.0779,0.4239,0.0693,0.1213,0.0110,0.0137,0.0023,0.0000,0.0061,0.0000,0.0124,0.1727,0.0187,0.0000,0.0706
0.0844,0.4557,0.0737,0.1202,0.0152,0.0255,0.0020,0.0000,0.0058,0.0000,0.0126,0.1463,0.0266,0.0320,0.0000